plot,lat,lon
NN1,42.93894444,144.6749167
NN2,42.93919444,144.6743889
NN3,42.93961111,144.6738611
NN4,42.94,144.6733611
NN5,42.94019444,144.6731111
MZ1,43.04977778,144.7784444
MZ2,43.04972222,144.7783611
MZ3,43.04972222,144.7781944
MZ4,43.04977778,144.7780556
MZ5,43.04988889,144.77775
AP1,43.01652778,144.8335
AP2,43.01686111,144.8335
AP3,43.01716667,144.8338611
AP4,43.01813889,144.8342778
AP5,43.01819444,144.83425
MB1,42.98733333,144.8896667
MB2,42.98733333,144.8898056
MB3,42.98727778,144.8899444
MB4,42.98680556,144.8905833
MB5,42.98661111,144.8906944
MC1,43.01716667,145.0251111
MC2,43.01725,145.0250556
MC3,43.01733333,145.0248611
MC4,43.01744444,145.0248611
MC5,43.01783333,145.0245278